,training_loss,val_loss
0,4.386750297546387,4.38932466506958
1,4.303663868904113,4.335583686828613
2,4.286817436218262,4.3287224769592285
3,4.280337276458741,4.38763427734375
4,4.272233743667602,4.281492710113525
5,4.269350743293762,4.446627140045166
6,4.262203502655029,4.343000411987305
7,4.257705864906311,4.347421646118164
8,4.257036137580871,4.388688087463379
9,4.2497789001464845,4.350811004638672
10,4.398053150177002,4.282097816467285
11,4.3108210325241085,4.316936492919922
12,4.2898472833633425,4.384726047515869
13,4.281068615913391,4.342060565948486
14,4.271536183357239,4.31667947769165
15,4.253290581703186,4.351709842681885
16,4.252579579353332,4.322481155395508
17,4.248043274879455,4.345400810241699
18,4.248043193817138,4.408360481262207
19,4.253033838272095,4.335965156555176
20,4.402628884315491,4.3147382736206055
21,4.281907176971435,4.281430721282959
22,4.274954872131348,4.3036956787109375
23,4.271228861808777,4.323625564575195
24,4.270707812309265,4.297242641448975
25,4.261090798377991,4.363063335418701
26,4.260112280845642,4.355278968811035
27,4.262768244743347,4.360096454620361
28,4.258842549324036,4.327991962432861
29,4.253352756500244,4.420921325683594
30,4.388461909294128,4.302150726318359
31,4.2799697732925415,4.279175758361816
32,4.270930366516113,4.310981750488281
33,4.271184682846069,4.326047420501709
34,4.265422749519348,4.397226333618164
35,4.263339114189148,4.34785270690918
36,4.259496068954467,4.34093713760376
37,4.261376042366027,4.330664157867432
38,4.2505793952941895,4.392690181732178
39,4.253002300262451,4.383062839508057
40,4.399760541915893,4.33182954788208
41,4.288885560035705,4.290866851806641
42,4.268439178466797,4.324986457824707
43,4.2638137149810795,4.317073822021484
44,4.260703644752502,4.311527252197266
45,4.262699093818664,4.307654857635498
46,4.25297242641449,4.327009201049805
47,4.248332028388977,4.306466102600098
48,4.252375636100769,4.328734397888184
49,4.255039067268371,4.319665431976318
50,4.150479052066803,4.0296478271484375
51,3.8796036982536317,3.961418867111206
52,3.8096796011924745,3.957097053527832
53,3.758424997329712,4.005590438842773
54,3.6880518651008605,4.142381191253662
