,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,33.477463,12.524374,40.750053,38.068245,21.92426,40.21037,20.83338,7.7946005,31.715986,35.429302,42.583916,42.987953,24.377369,17.53489,36.58969,33.06858,53.334583,-4.8093486,26.635036,35.84716,32.78853,49.255512,9.769998,28.614052,3.944391,44.240974,22.98031,10.392917,3.1823673,36.84708,45.91425,28.691847,40.29785,49.170067,48.447308,70.62846,54.671585,20.200506,45.305237,28.597364,26.38822,18.678087,28.537783,28.58228,10.025431,50.37293,44.64181,46.709824,12.425926,23.326942,32.192543,55.2699,39.78218,35.241146,32.641838,13.736505,24.30858,25.45476,31.373138,45.83278,44.654575,9.20102,27.733727,24.558569,42.005146,36.91388,27.817865,87.211494,55.665146,32.51852,50.5612,22.46033,45.16004,15.250597,34.04612,19.011211,23.759155,15.299378,32.12534,45.76025,33.312737,-225.92886,33.44283,22.864452,57.47759,40.805065,40.20629,29.210056,2.3008687,14.759175,23.236288,23.79011,48.70119,28.229982,40.2783,34.405834,14.486928,24.60309,44.910027,27.84035
1,21.575022,33.95908,41.82268,53.17494,32.944603,41.307484,21.971844,43.873432,23.583858,40.1834,26.5437,39.22793,40.61068,30.55338,16.711054,25.703941,40.416077,28.304262,29.143175,44.603138,22.514318,42.037285,22.208452,33.24772,41.62189,19.983799,28.348532,28.530453,44.619183,32.317913,12.994091,35.752167,11.280027,34.929394,46.686687,34.902977,27.43902,30.124184,42.12612,21.626211,25.822933,48.90314,13.620197,49.812115,26.418795,35.984154,33.262024,24.285666,35.042625,-23.40944,28.07175,42.13417,28.750238,38.012947,38.343616,33.789948,29.172663,25.892181,36.565655,33.301056,38.403526,27.648754,35.986256,25.408531,-21.461218,41.660442,31.279861,29.180384,44.19945,-4.0723724,42.88091,25.55926,32.863117,17.957783,29.340704,29.019627,33.49114,34.281536,33.446255,28.477695,46.695614,20.722277,33.097652,37.28356,24.21536,35.927006,33.46185,26.236061,24.223812,42.486237,28.201176,31.64418,57.275467,33.068604,31.450687,32.086388,41.22912,30.703936,36.206104,13.15678
2,29.260384,14.539356,21.495884,0.49970114,25.970211,11.612738,18.68833,52.694397,-23.813984,19.215715,2.6462395,6.2680163,29.156748,7.6606016,27.817205,23.296444,29.45701,25.938437,17.730642,36.391415,34.669716,18.749796,28.809841,16.732887,23.09314,30.462072,27.566736,31.765448,41.134968,20.856932,23.265572,6.124974,14.787852,26.936258,26.708271,25.77882,13.620979,32.790432,28.912615,8.029125,-6.155738,27.117397,27.245123,21.976387,15.501022,12.118658,25.818945,21.478355,0.0043078023,21.988758,31.092722,47.534653,17.933863,34.258778,1.5428168,29.962414,11.581075,29.903513,18.877253,24.488377,32.06941,19.629274,69.5848,17.839937,25.425169,30.641068,27.307934,41.160458,21.216305,8.581215,30.93789,20.684351,30.702957,-11.743851,41.148857,5.447611,29.979952,34.119396,14.318667,20.71487,24.194515,26.490372,16.643234,7.635845,12.126018,15.06031,17.77677,34.248814,24.018036,15.022198,30.609137,33.178486,21.850832,40.41399,22.829584,39.7014,26.505219,22.26051,25.982515,23.550802
3,48.746254,44.404682,31.39821,16.323742,36.269505,36.820942,26.288195,18.876242,36.272587,29.415438,32.710503,53.59054,21.2594,18.249794,36.18464,37.566975,15.407753,34.991714,36.723183,15.909083,20.18905,19.83907,33.93489,10.217579,46.16899,35.34665,50.257908,36.686703,11.773243,50.729603,29.87566,32.286964,25.00999,20.57646,22.153011,23.445997,43.74861,25.502312,21.06183,29.215036,29.249308,26.056309,18.331741,17.119938,4.9749446,30.80145,38.78178,48.82374,50.335926,27.121212,29.93322,22.006939,47.1981,35.22992,20.6418,24.258177,31.625813,39.41205,25.322662,29.950285,-21.498014,21.807829,31.185444,37.2667,31.63928,30.808146,19.391113,51.571327,38.786663,19.670126,31.942753,5.338911,25.133492,41.72185,33.719906,20.296545,47.86616,48.281693,25.873695,33.057175,20.971914,25.35758,65.32502,29.416548,97.803795,24.421959,33.55192,37.9491,13.745413,29.97105,30.177086,34.3644,25.800743,46.94197,44.863903,30.257465,36.361107,27.08365,130.41673,32.108776
4,23.010454,21.014215,29.481798,41.428116,58.870026,44.46573,50.082745,-9.764607,19.189806,49.09842,33.84131,40.722027,3.9628751,30.051388,66.96029,7.1572413,52.49279,22.395975,28.261677,26.683395,14.306895,18.980457,32.868267,23.781193,58.334454,4.74788,-72.16385,39.20748,16.313148,32.9198,30.421621,31.451653,39.567055,44.6167,35.78808,25.395603,9.654265,-0.99408984,42.822502,43.089752,48.96669,40.495903,21.185907,18.351068,26.622019,29.188349,21.967342,24.721285,16.48222,40.64063,39.945442,36.86721,41.118637,20.423141,28.64656,57.139633,19.112265,27.087801,20.83216,44.936398,30.903488,54.102314,43.866974,39.567337,22.72802,46.509483,7.770828,22.727774,25.138144,43.171127,25.44199,31.005552,40.43487,34.701797,46.913277,56.597256,43.86473,47.204323,3.2875803,26.322409,60.396698,63.125454,37.20071,28.917852,36.868023,48.3937,39.193073,26.198706,25.23073,32.742146,24.046305,41.59663,32.56577,30.862638,-4.4311533,55.146297,-1.0514361,25.23307,33.24618,22.657898
5,31.076996,26.92177,65.14025,77.17634,33.77073,29.583275,27.349316,15.366578,30.120737,27.37196,44.138073,33.83258,20.497633,29.362898,16.575508,42.930016,43.99709,32.006542,26.362822,28.884392,24.96514,40.139412,17.196114,26.598368,6.3973856,26.92914,26.844095,17.011288,34.69776,13.362245,16.8287,30.785868,24.790623,23.745687,12.533826,59.42649,24.86467,-9.497205,25.258568,27.330576,32.75754,26.57801,16.680267,33.53907,11.017859,49.071545,-10.370989,25.577782,28.199911,7.8079677,39.92878,26.212278,31.769537,25.441881,39.863808,14.2480545,22.675669,21.197847,25.790941,22.487837,17.05093,15.094625,21.331287,-16.428736,26.703913,17.937965,31.00564,26.639229,40.545223,31.130255,14.489746,22.484827,13.757951,29.4997,10.006176,34.03779,22.854498,20.034819,-0.6603016,13.889545,27.686296,26.594664,24.727488,29.622927,22.905313,22.397041,32.832657,30.044806,23.09824,34.355324,9.598096,24.590744,32.410816,23.248299,18.484941,23.592741,34.53833,14.372605,24.07224,11.297388
6,27.890408,17.527063,-23.49092,-1.060511,8.995532,12.662385,22.066135,17.331055,10.76521,5.0027537,8.246731,12.043402,29.614393,17.3926,18.641754,0.6901064,18.426027,22.279903,22.843317,30.36796,31.023228,73.71053,32.847866,31.341888,26.696693,8.851286,18.988447,4.1769557,9.835294,24.154491,6.5971246,24.870314,41.11526,23.10864,-9.1294155,58.302917,-15.502088,23.681017,10.766605,37.97608,18.59695,17.864498,16.725023,18.24244,58.852604,23.09874,25.70965,38.498314,24.50009,11.714037,26.625334,16.148867,20.417189,62.563725,50.519245,17.942154,40.807964,17.17989,16.452106,25.870834,17.575588,16.498453,24.525072,9.520283,6.380681,-23.060236,4.353346,8.873276,34.806595,6.799911,13.881467,25.809473,9.097343,21.870705,14.157459,11.690803,29.761421,-8.880083,-5.6562266,21.666382,46.06302,30.557964,30.181408,30.0273,27.643372,6.5411835,47.9128,13.718557,-6.866959,18.048254,32.98201,20.267118,39.67231,46.959713,9.726322,25.42792,51.449223,0.7970001,-5.750742,22.291422
7,40.86259,11.592582,32.831814,28.031065,41.800056,21.421474,21.907276,12.592408,32.933094,44.754963,-10.565614,15.446143,32.327896,72.70284,20.196337,67.44082,10.86094,25.637539,23.253567,12.737721,20.750206,17.923502,24.420687,22.738806,16.373556,51.630215,20.665123,23.445782,5.74696,30.47609,24.66901,16.185787,-8.026806,59.817726,33.292767,15.973814,9.141551,19.18023,27.994143,7.8221,17.152016,32.041687,16.955948,19.091476,6.464413,16.069006,35.11425,8.654698,29.47261,26.046902,23.323765,10.245741,61.56715,-13.047709,13.803769,23.04255,28.55341,6.747747,25.881624,18.066574,20.255064,28.665684,45.98858,-9.784798,83.73001,31.18017,22.133106,38.18284,26.420982,40.224022,22.581024,30.263374,25.873339,32.88247,39.80589,1.4624852,-9.7871685,2.1310017,17.017752,13.442051,34.238667,39.643383,54.371193,38.110794,30.414024,17.760052,28.98607,23.185064,15.272752,29.789515,16.046474,42.926544,5.3050485,41.669334,59.11825,8.852077,28.26171,41.548454,51.476555,17.397615
8,40.015343,53.956577,29.362324,27.510786,40.08875,55.399075,25.639477,41.14887,48.084137,42.65786,50.378685,37.120277,47.239628,50.514774,29.903915,-52.291435,47.08695,48.82276,45.7194,47.24965,60.13215,38.402245,73.53417,80.23651,49.731266,41.051975,41.688873,62.555393,32.916992,47.07777,54.823246,76.454346,49.205906,23.659874,53.842007,47.248043,42.13192,29.65112,49.10901,35.81621,38.035614,52.90459,40.39704,67.02715,29.900976,51.60582,49.688812,36.48465,31.169174,25.364843,38.416706,41.910328,36.710938,45.335484,45.875576,39.20632,40.280426,67.778946,65.75457,34.07352,44.562977,53.180145,26.360027,38.732704,38.75525,32.67937,19.288929,40.71729,60.609722,6.4584002,41.177486,58.99137,36.355904,20.215958,34.61005,39.66397,64.33011,41.14746,41.257557,70.04929,30.05454,50.36399,49.144127,-72.174225,46.364937,27.185173,45.43978,58.868923,33.624912,25.988228,46.643803,15.8867445,52.189735,31.675344,68.71966,61.077724,31.740225,54.685764,57.304737,2.905726
9,24.119686,52.70672,49.626537,44.85362,41.11071,36.716793,47.08184,35.9874,66.08107,38.19608,45.04758,32.53756,27.70813,44.43755,33.74213,43.672264,37.17461,33.01432,59.757698,39.176888,31.365923,30.488995,51.002728,24.60169,44.462925,55.2908,22.670227,30.441832,36.893074,36.56723,23.8184,37.447212,56.459377,31.617687,48.512978,95.41686,74.98186,29.870953,36.74031,39.099422,45.740715,6.1203647,41.472454,12.556722,24.258266,45.79804,23.862686,19.03399,26.596575,40.14158,44.482197,42.667976,46.233505,61.801434,37.55341,30.947973,29.536598,38.180225,41.34618,30.827002,27.924513,-62.366154,11.707682,32.036823,52.264515,41.460827,44.41144,33.582985,40.288574,26.895111,131.033,32.473118,68.43499,34.87899,30.033743,35.399784,36.828766,30.634577,45.495983,15.077941,50.663605,24.545982,91.43289,43.186253,37.76303,36.847385,1.595427,40.793,24.374779,10.130569,35.43121,52.851715,23.33019,35.2373,29.976776,44.53052,43.14045,38.4979,53.92412,58.850468
