,training_loss,val_loss
0,4.7657674789428714,4.389411926269531
1,4.430100011825561,4.287546157836914
2,4.3891068458557125,4.296868801116943
3,4.328058910369873,4.33881950378418
4,4.331089162826538,4.309301376342773
5,4.313437652587891,4.350971698760986
6,4.332839679718018,4.261114597320557
7,4.3178564548492435,4.277934551239014
8,4.307290887832641,4.371338844299316
9,4.323122358322143,4.363641262054443
10,4.3031871795654295,4.350622177124023
11,4.328862190246582,4.335366249084473
12,4.303208923339843,4.345641613006592
13,4.320631647109986,4.350417137145996
14,4.312634801864624,4.364805698394775
15,4.315458583831787,4.268301010131836
16,4.318421459197998,4.301956653594971
17,4.285207271575928,4.324792385101318
18,4.2757195949554445,4.3674726486206055
19,4.282226943969727,4.31786584854126
20,4.484363965988159,4.2496466636657715
21,4.320157699584961,4.347954750061035
22,4.314146461486817,4.290165424346924
23,4.303309326171875,4.297648906707764
24,4.294966335296631,4.2916364669799805
25,4.274381284713745,4.296604633331299
26,4.27405014038086,4.228235244750977
27,4.282773571014404,4.313994884490967
28,4.270677804946899,4.296860218048096
29,4.270431146621704,4.3085737228393555
30,4.261207599639892,4.364307880401611
31,4.265055599212647,4.320810317993164
32,4.259578714370727,4.307101249694824
33,4.254541997909546,4.398951530456543
34,4.261354188919068,4.3164472579956055
35,4.262147569656372,4.333102226257324
36,4.250776491165161,4.348020076751709
37,4.2470725154876705,4.399693965911865
38,4.249931211471558,4.3286333084106445
39,4.231871585845948,4.353537082672119
40,4.675272989273071,4.362696170806885
41,4.389136815071106,4.3106818199157715
42,4.347000002861023,4.289092540740967
43,4.322890830039978,4.280367851257324
44,4.328238606452942,4.32563591003418
45,4.315125632286072,4.308977127075195
46,4.3047590255737305,4.374955654144287
47,4.312794017791748,4.300775527954102
48,4.3025692224502565,4.313772201538086
49,4.303070378303528,4.335628986358643
50,4.280997157096863,4.315932273864746
51,4.2993923902511595,4.310488224029541
52,4.284574890136719,4.272233009338379
53,4.277496933937073,4.33018159866333
54,4.28355975151062,4.34655237197876
55,4.286842942237854,4.33302116394043
56,4.288624334335327,4.314809799194336
57,4.281004881858825,4.313619136810303
58,4.270518183708191,4.313667297363281
59,4.281107091903687,4.318823337554932
