,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,53.535973,30.782194,43.887592,45.846054,30.293327,51.190346,38.729897,28.464712,35.723644,37.80099,53.58966,43.468212,42.859146,35.75879,33.180916,57.302937,51.690647,41.75017,52.332928,39.744637,33.536427,47.90952,34.87344,31.27903,27.716553,43.554253,35.19625,10.877064,48.73473,30.629238,38.191166,19.286366,27.767113,50.42384,54.17958,17.517696,56.73172,40.961475,30.558481,23.526318,36.85619,32.836967,47.234882,49.859337,44.48375,32.123245,43.160522,20.955484,42.85427,37.615517,15.12626,32.673714,31.585987,30.610655,22.880478,29.449095,27.656982,26.721138,16.693327,21.592022,35.92124,45.08654,23.709036,16.10018,-29.82347,33.768196,26.932844,40.325222,22.159405,30.914927,44.72436,30.532312,29.371841,42.173557,29.409433,41.611416,-82.12612,52.15412,52.23186,43.266766,48.63568,32.05223,33.088985,28.83702,31.973454,26.996162,40.035477,23.60459,41.570908,38.55494,35.766552,47.483166,40.54442,15.882706,43.10094,17.912632,33.771465,27.90139,12.1792755,36.435116
1,16.169722,17.840195,30.988714,34.638813,37.789864,-8.7202635,27.017675,5.453728,24.899382,27.169909,27.140669,26.704641,25.305967,25.885942,38.80252,28.115696,8.799364,25.526081,19.4661,22.737616,37.65642,-11.588536,-14.950427,85.14793,14.301706,57.14547,18.78085,31.392582,42.037964,27.403036,33.552006,20.429468,18.519598,21.977108,36.67423,19.584623,39.334732,31.68012,18.713398,18.493937,30.591375,34.428123,18.734028,8.170435,13.949345,37.867874,36.23728,5.9627833,32.3431,23.395124,8.162919,41.6907,-2.1858716,41.131725,13.534923,47.279694,30.109007,28.442757,19.567207,5.1775255,29.26823,8.634052,27.26834,20.785522,15.37892,43.96507,43.41505,32.8366,28.227621,37.280235,29.663607,20.60089,26.07058,10.200139,-11.262979,28.708265,30.30697,65.82631,-46.674072,23.414795,-3.8746424,40.69464,19.077177,30.38592,19.993015,34.537994,34.036293,35.216072,40.458496,42.37768,26.816814,26.604614,30.294584,31.906277,48.08746,30.271955,-30.157215,21.43103,22.078703,34.660664
2,10.598174,17.943808,25.532127,23.813263,18.295385,19.412552,14.011227,24.338932,21.260166,12.58789,23.270266,15.296327,27.819239,17.925804,23.072447,26.929794,20.706644,12.9470215,9.774702,23.087965,6.396796,23.091805,18.428253,28.569174,9.878416,4.6266303,24.088593,-7.869015,19.285294,16.640724,18.927628,23.902231,17.177887,18.26391,14.061481,13.735437,25.52852,22.314367,19.777063,16.089235,3.515114,12.772421,20.954172,23.917542,27.990608,24.828875,24.434828,13.945489,33.64634,13.964876,23.899641,21.512411,19.533491,19.400633,20.205061,24.493917,24.373903,10.332686,7.499805,18.506048,17.57832,41.22559,18.817135,20.748035,9.545329,23.305172,27.434847,22.002867,18.72184,20.95605,50.68866,23.916445,26.2439,27.541283,20.07351,11.953022,10.748044,53.00627,14.383304,34.053253,11.286728,12.874767,-9.842777,29.934908,15.961921,16.06289,13.441552,16.705395,22.626213,19.138927,35.44233,-11.729983,24.631298,13.882252,22.242079,24.38884,16.840067,24.134502,15.914382,1.8332099
3,10.521344,27.840801,32.18834,32.077168,53.153996,14.746778,31.303806,39.37224,34.079292,40.108242,48.456535,37.979473,37.47135,44.873913,23.092745,33.55321,47.83278,17.33791,43.43249,39.748875,31.49509,40.02927,35.1365,28.031199,49.589886,47.630585,34.13308,29.291832,11.791951,38.98258,33.940502,31.063171,38.981434,37.312897,142.95857,32.33246,58.65601,80.88892,33.327602,45.82086,43.237076,10.878074,12.005454,38.277863,35.400314,86.923,46.098976,40.4385,40.646137,43.010426,27.448944,49.106205,22.916416,32.10588,32.247524,17.66351,47.319405,35.037575,35.225212,30.308725,32.027287,36.896286,19.258322,49.993137,27.665346,41.381336,35.912518,46.166214,9.088739,27.220724,25.912914,42.796837,41.75466,33.229668,42.832916,39.40851,29.982561,53.27437,35.564575,49.25945,31.823654,32.815884,28.405264,42.316235,13.642443,40.08206,52.236572,30.963942,38.90139,16.321018,28.670818,39.880962,24.303566,38.643707,54.340824,22.182045,35.498596,26.229803,36.212555,49.642796
4,16.295927,22.771969,22.37899,18.457703,6.970127,17.553677,26.081823,19.675331,19.490793,15.564131,27.0856,11.743359,24.801054,22.223753,24.723547,28.607473,18.587389,14.04664,18.431364,13.685736,18.935957,15.190687,17.424671,15.514307,17.894814,21.574862,21.339664,14.59853,14.359974,16.791946,23.94693,21.306175,31.359354,30.740904,17.539408,15.923492,27.707823,5.926366,20.5402,15.409188,26.014282,20.322351,27.93605,28.958752,28.579653,21.440722,21.74069,31.566967,26.098646,28.682154,16.887892,29.807955,21.16231,4.5645065,24.691694,15.230479,26.353466,34.208096,23.61652,17.469625,15.9905,19.14539,26.390419,18.291212,16.959776,17.108286,21.457342,20.537788,22.85796,29.845633,23.96235,12.425864,23.506914,22.445423,17.237967,18.42459,19.143072,29.530052,23.655249,25.707844,14.650162,24.97256,22.327713,10.467707,24.163664,2.9344225,25.084036,21.576326,29.620295,25.452044,18.622192,8.73136,23.273594,15.455739,38.071205,21.733408,35.554424,12.867086,26.190756,23.423286
5,28.112541,36.06942,22.936815,17.191147,22.625477,19.499866,29.423084,18.740742,17.621502,33.951656,24.103619,30.412971,26.909065,15.669544,20.98228,19.920677,14.867353,21.23741,27.954004,20.074451,18.688597,22.40572,21.043396,16.261606,23.61594,24.285368,37.92623,36.804836,19.386015,18.70892,47.75107,20.780964,21.07435,18.949085,24.636858,25.49266,28.904116,25.124485,17.26919,18.78527,14.576256,17.042934,11.315417,25.456913,30.499174,24.918602,29.870783,19.233776,18.889246,29.240171,25.28449,23.618097,19.474459,13.5263405,29.612638,21.685741,19.445614,14.797326,22.550947,26.688002,23.921495,18.557402,20.31504,16.062553,14.444394,25.638922,24.781988,17.701622,22.576204,15.345428,15.423185,16.741692,16.172342,22.81573,22.940996,20.352901,8.7997055,49.244106,25.616356,12.038588,29.80452,-3.2614625,32.131226,20.374052,21.150211,17.505974,20.24139,29.33532,14.479626,9.96986,3.0740337,22.036766,25.176264,22.471167,19.740362,18.627811,15.215716,21.54216,30.873995,20.02276
6,20.55742,26.809526,12.631533,24.114262,17.707277,23.815744,8.874186,8.867595,5.8896313,22.096825,9.549478,14.529937,-12.013755,9.446815,6.6816096,14.757325,20.716537,17.451458,13.260068,8.334747,20.479599,26.06312,21.720398,26.698576,19.374506,12.6062565,17.819649,9.702253,4.883491,21.736422,20.118847,19.0079,9.89011,15.569753,30.857801,18.070488,26.226402,8.098303,8.935304,-2.3277392,12.022427,18.563887,15.031128,20.982513,8.639932,21.496143,29.28752,14.272774,11.018433,8.069791,9.531676,13.317384,16.326298,44.371445,12.752139,20.266638,18.055006,11.351564,11.562136,22.742476,4.945284,16.403645,26.528831,16.66605,4.1476917,17.843384,18.32115,17.432165,24.684362,18.99329,19.408566,37.39871,17.306282,18.90907,18.331127,14.468681,5.962958,11.150095,19.972404,16.876719,9.659882,7.7456007,19.302761,13.227062,16.947271,20.766586,28.083467,11.699892,12.371665,30.62614,3.6001198,12.66865,9.391078,10.284442,24.795406,28.428802,15.0315895,23.93891,22.948519,26.56354
7,28.765701,26.040405,23.269037,39.62804,35.33237,29.574347,33.97126,18.082104,28.067392,36.746166,27.175692,55.794094,40.741558,38.0592,36.977127,40.357788,32.93144,35.520157,31.234737,35.43627,32.544067,32.88609,26.526417,9.575533,43.17421,73.308395,38.2431,28.509956,35.020752,20.272348,21.982368,27.898983,21.363642,21.693415,8.071123,24.055035,25.789967,26.382364,34.997517,16.30074,17.490387,14.071779,17.459927,20.10735,23.553438,27.12888,35.22405,35.833622,52.742504,21.865675,24.094843,29.788378,31.842062,29.958712,24.219099,37.787544,37.969154,18.469706,27.81584,28.639711,31.070795,35.001225,21.072891,30.170849,33.48364,21.993769,31.945372,39.40568,26.011591,37.877945,72.76378,39.8006,28.286572,34.746086,34.476284,26.052994,25.267183,50.68124,23.335558,21.647587,39.526817,35.007843,33.997665,37.385746,20.818583,30.947405,32.290344,32.970577,33.47911,26.521395,23.611769,23.4212,44.744904,28.741213,29.535389,-7.606927,25.414726,44.07252,31.038456,33.34771
8,20.351423,41.515915,71.11192,25.59688,48.623245,34.024246,23.57388,23.295925,45.64422,42.014725,26.7221,28.63219,33.492657,46.73967,23.462149,39.411743,32.93796,37.860447,29.676477,27.881647,30.982693,34.57417,23.745152,29.010015,32.685017,30.110456,32.98643,26.14049,36.23699,30.769476,28.634853,47.209236,-6.506728,27.515043,40.68324,38.217907,27.325493,32.494835,42.562317,45.274693,40.114273,31.155556,39.21599,46.790848,29.508112,32.306297,28.11193,29.48671,22.73104,49.622623,34.25173,38.99915,33.700554,21.29819,25.88724,40.150417,61.0603,32.582924,26.836077,58.65803,42.62727,40.211338,33.7996,28.633543,30.214304,31.896902,33.03595,45.360527,13.189448,28.446083,5.0775094,32.401512,31.500486,32.01247,34.31186,37.4775,21.368458,38.33533,30.509983,41.034058,30.894575,50.290844,27.704264,34.227962,29.672773,41.062874,26.520948,37.04759,36.390045,18.338442,60.47735,24.292934,36.158264,25.620663,17.654728,26.843351,39.433044,30.381924,30.467785,19.127031
9,26.741049,35.98385,40.296642,25.833181,37.043617,22.911804,29.378553,30.452736,24.606628,27.84393,30.264154,21.792553,24.99544,30.262022,28.217945,29.42454,25.266111,29.104572,28.124783,30.90301,32.41383,29.394611,35.519146,43.012047,46.662617,28.551065,16.815355,24.773252,28.154154,23.413774,8.972371,32.720135,37.884888,24.270494,37.407536,28.89822,26.921967,33.276028,28.978603,39.681232,26.862267,36.36462,43.26862,39.538322,13.440269,21.788666,42.328873,30.717775,16.549852,22.39327,55.040535,37.059124,44.918854,35.630875,20.870052,26.552675,42.380463,29.477968,28.664553,23.264431,30.156597,10.648518,39.283455,23.651417,21.792425,32.591522,35.436855,42.468655,36.617485,30.532343,9.7198515,28.94401,28.250872,27.630022,27.171186,30.11381,42.431618,36.17862,15.898708,36.893738,42.757465,38.40861,40.371788,40.346817,22.469585,34.33059,23.36618,27.618591,34.22577,32.487362,34.061947,27.260267,18.359737,33.71184,39.126446,29.486212,35.918587,14.575904,35.955997,40.343563
