,Energy (kWh)
9983,23.559
10006,17.839000000000002
10029,21.807
10053,21.292
10075,14.083
10099,5.018
10124,21.089
10147,7.154
10171,25.665
10196,8.642
10239,12.419
10263,14.733
10288,8.001
10312,45.111
10336,23.799
10360,13.566
10404,25.579
10427,19.857
10450,3.706
10474,15.524
10499,19.641
10522,49.858
10544,2.354
10567,7.728999999999999
10591,11.13
10616,28.392000000000003
10641,11.339
10664,23.83
10687,9.265
10710,28.178
10732,9.013
10756,32.003
10836,41.466
10877,8.221
10901,27.953
10925,28.324
10949,6.584
10974,43.293
10997,12.278
11020,17.285
11042,20.81
11065,24.795
11088,27.1
11110,20.371
11133,35.297
11156,10.813
11178,0.436
11201,10.439
11226,22.686
11249,21.606
11274,35.85
11297,24.322
11319,33.326
11342,5.834
11363,23.657
11385,18.459
11410,11.668
11434,27.363
11460,20.075000000000003
11486,5.801
11510,1.465
11544,1.888
11592,4.306
11657,3.008
11699,11.13
11722,7.817
11745,15.261
11817,2.236
11840,14.95
11865,13.872
11890,15.636
11915,17.762
11940,17.689
11965,17.346
11990,16.811
12013,30.114
12037,18.418
12062,28.728
12087,12.072
12112,27.599
12136,26.104
12160,16.222
12183,23.518
12208,17.581
12233,38.932
12258,13.644
12284,28.42
12309,15.503
12333,29.668
12358,23.699
12383,12.345
12408,16.527
12433,16.059
12458,36.278
12483,7.752
12527,19.24
12552,8.088000000000001
12578,11.798
12602,25.875
12628,28.249
12677,18.581
12701,29.598
12726,32.356
12752,35.359
12776,32.611999999999995
12801,13.527
12826,6.042
12849,1.081
12892,25.823
12918,26.39
12942,18.868
12967,13.662
12993,9.062
13018,8.209
13040,9.69
13065,6.346
13090,33.713
13116,31.093
13140,27.214
13165,6.558
13210,10.54
13235,14.03
13260,29.66
13285,21.099
13309,25.234
13333,8.637
13357,1.184
13380,18.926
13405,14.703
13429,22.899
13454,26.06
13480,12.102
13504,28.754
13529,16.89
13553,17.782
13602,35.601
13630,3.847
13657,30.54
13686,2.0
13709,21.494
13735,19.031
13764,16.314999999999998
13793,32.055
13820,17.038999999999998
13848,16.804
13877,24.316
13903,4.572
13928,20.834
13957,12.039
13986,22.111
14014,48.718
14043,12.849
14071,21.037
14093,16.023
14119,9.453
14145,7.658
14173,16.428
14201,23.52
14230,22.764000000000003
14257,12.714
14281,5.6
14309,13.886
14336,14.794
14365,19.485
14396,29.166
14424,35.802
14450,20.844
14504,20.388
14532,32.339
14562,8.397
14591,26.525
14620,12.768
14648,20.293
14675,12.501
14699,28.804
14728,27.218
14758,17.085
14785,11.331
14813,13.227
14842,8.104
14897,15.124
14925,5.732
14954,24.458
14982,13.236
15011,15.061
15039,7.993
15064,8.621
15090,36.47
15117,22.132
15146,25.409
15172,45.337
15202,39.304
15281,12.581
15310,10.709
15340,58.718
15369,11.321000000000002
15399,32.317
15427,23.086
15477,62.629
15506,19.9
15535,25.043
15565,36.968
15596,14.118
15625,15.568
15652,18.097
15679,27.614
15708,20.604
15736,15.144
15765,3.812
15794,20.005
15821,21.157
15849,8.32
15876,16.864
15905,13.131
15963,10.006
15993,34.526
16022,14.113
16047,10.467
16071,19.49
16101,18.324
16131,35.155
16160,11.147
16191,45.579
16219,32.924
16245,8.769
16271,28.619
16301,20.393
16331,41.821
16358,16.249000000000002
16387,36.222
16414,12.481
16442,3.203
16467,10.064
16496,18.493
16525,12.069
16546,9.912
16575,15.724
16604,17.85
16656,26.576
16685,20.964
16714,17.374
16742,8.06
16772,25.397
16800,24.031
16827,7.422
16853,5.163
16880,24.516
16910,4.088
16939,10.225
16967,8.395
16994,9.35
17046,19.039
17072,5.0680000000000005
17099,35.835
17126,6.211
17155,11.446
17181,18.203
17233,23.575
17260,14.083
17289,19.516
17318,23.496
17346,25.34
