,item_id,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
0,,2019-08-18,77.16927083333333,1483.9267578125,4124.1337890625,12.968974179441824,14.040041386858212,0.3323662813195276,0.4380178168268487,0.9803560844757272,0.359815388917923,3.3955300788280405,590.2582703053952,0.009433962264150943,1483.9266718514264,0.24528301886792453,944.4630839040501,0.7327044025157232
1,,2019-08-18,124.72625540487421,1960.916259765625,4754.9189453125,14.952575299724844,14.581586301428086,0.4228897463640415,1.0791712866889105,0.9664090714364681,0.4123974144458771,5.648099971515181,655.1523763537407,0.03459119496855346,1960.9162343889475,0.20440251572327045,1797.061552658479,0.5723270440251572
2,,2019-08-18,113.63858588836477,1778.904296875,3861.62109375,12.143462558962264,6.101396474413465,0.9168456258951769,4.8742816631610575,1.0247831524543043,0.4606625735759735,11.783897174494982,649.8646296083928,0.07861635220125786,1778.9043394476175,0.31446540880503143,1449.9228725993294,0.7610062893081762
3,,2019-08-18,206.3924921383648,2682.16015625,7552.94580078125,23.751401889249212,5.364013754887793,1.5724169037545037,0.44125782359730115,0.834982434158805,0.3551144301891327,18.680618445316334,924.5349218338729,0.025157232704402517,2682.16035079211,0.16037735849056603,2239.135582147539,0.720125786163522
4,,2019-08-18,279.01967865566036,3446.083984375,10084.5625,31.7124606918239,5.642528981426386,1.9205469967280733,0.4342939764632229,0.7850353312942216,0.34171873331069946,19.370240827027395,1110.2018256366255,0.08176100628930817,3446.084236808121,0.2610062893081761,2752.6597877014665,0.6729559748427673
5,,2019-08-18,342.48432586477986,3745.82568359375,11041.775390625,34.72256412146226,5.87151877550153,2.006180427828197,0.6311757972990849,0.7439385180203419,0.33924123644828796,24.895551877490398,1209.8163300812246,0.06918238993710692,3745.825570009649,0.279874213836478,3256.869712833827,0.6792452830188679
6,,2019-08-18,196.98922710298743,3232.2138671875,10041.0703125,31.575692806603772,8.419219254717783,1.2072609399272378,0.7794440095776954,0.5436104828456663,0.32189932465553284,9.574420775945095,1437.8440844476224,0.2169811320754717,3232.2138226926327,0.5440251572327044,1820.3202461590058,0.8459119496855346
7,,2019-08-18,139.22830680031447,2546.326171875,6853.974609375,21.55337927476415,7.858864969398164,1.0188895008472745,1.32253547728531,0.762055978835004,0.37151089310646057,9.825773303137721,832.9222137719393,0.07861635220125786,2546.326270606369,0.3805031446540881,1851.6629275838845,0.6698113207547169
8,,2019-08-18,217.2059748427673,3420.10888671875,10540.2490234375,33.145437180621066,3.024863659788337,3.555551787398545,0.6798126115831723,0.5512626216096698,0.3244808316230774,27.73988906863806,1486.8506929337977,0.22641509433962265,3420.1090551242232,0.5251572327044025,2036.2740415718406,0.8270440251572327
9,,2019-08-18,200.11094732704402,2989.739501953125,8699.4892578125,27.356884458529873,2.951148631417885,3.1857753441938104,0.5827563526184578,0.7653296128758844,0.3436684012413025,24.311930552734875,1011.8157238781454,0.08176100628930817,2989.739557109773,0.3553459119496855,2140.9218449021223,0.7735849056603774
10,,2019-08-18,279.8018867924528,3535.4951171875,10071.166015625,31.670333382468552,3.080044919882693,3.6096581260149394,1.0728684911188089,0.6900732652196344,0.3510512113571167,36.47337151361676,1316.0160009145739,0.16352201257861634,3535.4950907081366,0.4528301886792453,2490.27848574575,0.8207547169811321
11,,2019-08-18,168.9321442610063,2737.44140625,7522.177734375,23.654646963443398,15.295497651734104,0.5628000150741294,0.4964299143096547,0.8140127313961772,0.3639160692691803,7.35025645749251,880.3371824532749,0.050314465408805034,2737.4412683472037,0.22327044025157233,2504.0201216179094,0.5786163522012578
12,,2019-08-18,376.35912932389937,4686.8212890625,19609.048828125,61.663675560141506,20.305218781876913,0.7258445173595558,0.6842853820401859,0.4121457465789603,0.2390131950378418,6.347895931020735,2133.6177779316904,0.21069182389937108,4686.82117664814,0.42452830188679247,2737.115344289923,0.7232704402515723
13,,2019-08-18,257.1462018474843,3404.458251953125,10349.32421875,32.545044713050316,10.894134116797007,0.9827163356741063,0.8958793477809176,0.8251041436345322,0.32895463705062866,8.413118918007271,1166.4073603987695,0.09433962264150944,3404.4583259671926,0.27358490566037735,2484.5403292365663,0.5534591194968553
14,,2019-08-18,246.0165585691824,3372.16650390625,10571.923828125,33.245043484669814,7.548529943046582,1.4048162042284007,0.8804238219979187,0.6824588415757665,0.3189737796783447,9.487316912612162,1356.1172133982182,0.12264150943396226,3372.1663215607405,0.389937106918239,1984.5277869988697,0.720125786163522
15,,2019-08-18,422.00619103773585,5174.05224609375,15591.0712890625,49.02852606623428,7.351083018106086,2.213361556030493,0.6812399571238,0.4851353483380012,0.3318599462509155,15.344372952412009,2348.1707620620728,0.2389937106918239,5174.0523968786,0.449685534591195,2840.1650550582794,0.7515723270440252
16,,2019-08-18,290.0752260220126,3445.382080078125,9660.3623046875,30.378497813482703,15.847457019296158,0.6836765564229416,0.437190089906965,0.8802050704476219,0.3566514253616333,7.656646856934673,1130.0356361031531,0.06289308176100629,3445.381996296346,0.20754716981132076,2874.413193533011,0.6194968553459119
17,,2019-08-18,8.126376553901336,128.05276489257812,127.11699676513672,0.3997389835381658,3.723009220396974,0.10816026143568207,0.9989044189453125,1.9997938623968161,1.0073614120483398,4.307176641593389,26.55410442282191,0.9056603773584906,128.0527564821532,0.9528301886792453,228.920534890797,0.9528301886792453
