mse,rmse,mae,model
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
215.970863,14.6959472,11.6452185,ConvLSTM
211.826825,14.5542717,11.5502709,ConvLSTM
215.523961,14.6807343,11.6216737,ConvLSTM
213.546403,14.613227,11.566428,ConvLSTM
211.126542,14.5301941,11.5079449,ConvLSTM
209.32092,14.4679273,11.426646,ConvLSTM
207.994468,14.4220133,11.4644118,ConvLSTM
209.460657,14.4727557,11.5826664,ConvLSTM
207.52618,14.405769,11.4362804,ConvLSTM
208.541527,14.440967,11.4957058,ConvLSTM
207.955792,14.4206724,11.4346495,ConvLSTM
208.859747,14.4519807,11.5292043,ConvLSTM
216.460213,14.7125869,11.6663552,ConvLSTM
214.964709,14.6616748,11.710093,ConvLSTM
208.678324,14.4457026,11.5131522,ConvLSTM
209.357132,14.4691787,11.5309855,ConvLSTM
208.463898,14.4382789,11.4590238,ConvLSTM
209.46947,14.4730601,11.5364414,ConvLSTM
212.474057,14.5764899,11.56652,ConvLSTM
213.390665,14.6078973,11.6142463,ConvLSTM
214.029147,14.629735,11.5992535,ConvLSTM
211.177488,14.5319471,11.6222646,ConvLSTM
210.893321,14.5221665,11.5266828,ConvLSTM
207.573678,14.4074175,11.4669023,ConvLSTM
210.028877,14.4923731,11.5071467,ConvLSTM
211.228992,14.5337191,11.5820784,ConvLSTM
213.346542,14.606387,11.6477636,ConvLSTM
209.807438,14.4847312,11.4581019,ConvLSTM
210.856096,14.5208848,11.4771515,ConvLSTM
215.599598,14.6833102,11.6471155,ConvLSTM
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
365.191148,19.1099751,14.928824,Persist
